"Visit Date",Team,"Dist. Rep.","Business Name","Visit Notes",Orders,"Image 1","Image 2","Image 3","Image 4"
"07/28/26 19:50:27ET",Coppock,Coburn,"Catch23 (CHS)","Met with bartenders they said DN has been selling really well. They seemed genuinely excited about the brand so I gave them my info in case they want to do a tasting.",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a68ebe234a42.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a68ebe2b76cf.jpg,,
"07/28/26 21:44:17ET",Gallo,Welsh,"Charlies Grocery-Spring St (CHS)","Still rocking with Active - 8 cases last order and ICL.  Left them a JJ and DY sample.  ",0,,,,
"07/28/26 19:22:28ET",Coppock,Coburn,"Chico Feo (CHS)","Don’t currently have any of our brands on draft or can. Spoke with bartender and she said the best time to come is on a Wednesday when sully is here to do ordering ",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a68e552ccf89.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a68e5537f69c.jpg,,
"07/28/26 20:26:37ET",Coppock,Coburn,"Coconut Joes - Folly (CHS)","Met with GM and they are Interested in the coaster program. Need to bring a sample of DY, they would like to add that as their third sku. Also interested in working with us on some events at the end of next month. New Bar Manager is starting soon so he will defer to them. ",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a68f45bcd147.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a68f45c64197.jpg,,
"07/28/26 19:25:57ET",Kelley,Hart,"Harris Teeter #152 (CHS)","Spoke with Jay, the store manager, and he has agreed to bring in JJ and DN. They are going to be a floor display! I ran into Steven Hart while I was here. He is the SCP Rep, that I’ve been trying to get a contact for. While he was here, I let him know what this store wanted to order so it’s already keyed in.",1,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a68e62447dc8.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a68e624d7032.jpg,,
"07/28/26 15:08:16ET",Gallo,Scruggs,"Harris Teeter #277 (CHS)","OOS 4/6 ICL - Need order - will text Freddie ",1,,,,
"07/28/26 14:43:16ET",Gallo,Scruggs,"Harris Teeter #365 (CHS)","OOS ICL 2/12 and 4/6 - good on the rest ",1,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a68a3e30415e.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a68a3e39a7bb.jpg,,
"07/28/26 21:11:09ET",Kelley,Hart,"Harris Teeter #423 (CHS)","Spoke with Mason and Tammi about bringing in ICL 6 pks. They told me I would need to speak with Bradt who is the store manager. He is not in today, but will be here the rest of the week. I do not see any ICL 12 pks in stock…",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a68fecc45cc4.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a68feccd028d.jpg,,
"07/28/26 18:55:23ET",Mayer,,"Heavy Barburger (CHS)","Spoke with new GM Bryan about coaster program and menu changes.  He’s going to push our info up the chain to Brandon or John the owners.  They’re looking to open a new Heavys each year.  3 locations so far",0,,,,
"07/28/26 19:08:14ET",Mayer,Zimmer,"Hometeam BBQ - Downtown (CHS)","Spoke with Micah, Kolsch sells well.  Adam isn’t in today.  Sent him an email.",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a68e1fdd4b59.jpg,,,
"07/28/26 18:16:17ET",Mayer,,"Honky Tonk Burger Co (CHS)","Spoke with Deanna picking up DN cans",0,,,,
"07/28/26 17:01:01ET",Mayer,Zimmer,"John King Piano Bar (CHS)","Deanna is now Dir. of Ops Erika is the new GM spoke with Sheryl manager. ",0,,,,
"07/28/26 18:09:54ET",Mayer,Zimmer,"John King Piano Bar (CHS)","Spoke with Deanna and Erika, going to move forward with coaster program.  Would like us to contribute to menu printing. 

Would love for us to come out once a month we’re tasting going to meet with Erica tomorrow to finalize. Trying to schedule for first preseason football game on August 6.

",3,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a68d4513a1eb.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a68d451c57d2.jpg,,
"07/28/26 21:40:09ET",Gallo,Waller,"Jordan's Market (CHS)","Dropped sample and sell sheet on CHILL",0,,,,
